x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,omegax,omegay,omegaz
0.999998766299704,0.00157079568083088,1,-0.00157079568083088,0.999998766299704,0,0,0,0,0,0,0,0,0,0
0.999995065201858,0.00314158748587956,1,-0.00314158748587956,0.999995065201858,0,0,0,0,0,0,0,0,0,0
0.999988896715596,0.00471237153937342,1,-0.00471237153937342,0.999988896715596,0,0,0,0,0,0,0,0,0,0
0.999980260856137,0.00628314396555895,1,-0.00628314396555895,0.999980260856137,0,0,0,0,0,0,0,0,0,0
0.99996915764479,0.00785390088871133,1,-0.00785390088871133,0.99996915764479,0,0,0,0,0,0,0,0,0,0
0.99995558710895,0.00942463843314401,1,-0.00942463843314401,0.99995558710895,0,0,0,0,0,0,0,0,0,0
0.999939549282101,0.0109953527232182,1,-0.0109953527232182,0.999939549282101,0,0,0,0,0,0,0,0,0,0
0.999921044203816,0.0125660398833526,1,-0.0125660398833526,0.999921044203816,0,0,0,0,0,0,0,0,0,0
0.999900071919753,0.0141366960380327,1,-0.0141366960380327,0.999900071919753,0,0,0,0,0,0,0,0,0,0
0.999876632481661,0.0157073173118207,1,-0.0157073173118207,0.999876632481661,0,0,0,0,0,0,0,0,0,0
0.999850725947372,0.0172778998293646,1,-0.0172778998293646,0.999850725947372,0,0,0,0,0,0,0,0,0,0
0.999822352380809,0.0188484397154082,1,-0.0188484397154082,0.999822352380809,0,0,0,0,0,0,0,0,0,0
0.999791511851981,0.0204189330948005,1,-0.0204189330948005,0.999791511851981,0,0,0,0,0,0,0,0,0,0
0.999758204436984,0.0219893760925051,1,-0.0219893760925051,0.999758204436984,0,0,0,0,0,0,0,0,0,0
0.999722430218001,0.0235597648336102,1,-0.0235597648336102,0.999722430218001,0,0,0,0,0,0,0,0,0,0
0.9996841892833,0.0251300954433375,1,-0.0251300954433375,0.9996841892833,0,0,0,0,0,0,0,0,0,0
0.999643481727238,0.0267003640470524,1,-0.0267003640470524,0.999643481727238,0,0,0,0,0,0,0,0,0,0
0.999600307650257,0.0282705667702733,1,-0.0282705667702733,0.999600307650257,0,0,0,0,0,0,0,0,0,0
0.999554667158883,0.0298406997386809,1,-0.0298406997386809,0.999554667158883,0,0,0,0,0,0,0,0,0,0
0.999506560365732,0.0314107590781283,1,-0.0314107590781283,0.999506560365732,0,0,0,0,0,0,0,0,0,0
0.9994559873895,0.0329807409146501,1,-0.0329807409146501,0.9994559873895,0,0,0,0,0,0,0,0,0,0
0.999402948354973,0.0345506413744723,1,-0.0345506413744723,0.999402948354973,0,0,0,0,0,0,0,0,0,0
0.999347443393018,0.0361204565840214,1,-0.0361204565840214,0.999347443393018,0,0,0,0,0,0,0,0,0,0
0.999289472640589,0.0376901826699345,1,-0.0376901826699345,0.999289472640589,0,0,0,0,0,0,0,0,0,0
0.999229036240723,0.0392598157590686,1,-0.0392598157590686,0.999229036240723,0,0,0,0,0,0,0,0,0,0
0.99916613434254,0.04082935197851,1,-0.04082935197851,0.99916613434254,0,0,0,0,0,0,0,0,0,0
0.999100767101245,0.0423987874555841,1,-0.0423987874555841,0.999100767101245,0,0,0,0,0,0,0,0,0,0
0.999032934678125,0.0439681183178649,1,-0.0439681183178649,0.999032934678125,0,0,0,0,0,0,0,0,0,0
0.998962637240549,0.0455373406931845,1,-0.0455373406931845,0.998962637240549,0,0,0,0,0,0,0,0,0,0
0.99888987496197,0.0471064507096427,1,-0.0471064507096427,0.99888987496197,0,0,0,0,0,0,0,0,0,0
0.998814648021921,0.0486754444956164,1,-0.0486754444956164,0.998814648021921,0,0,0,0,0,0,0,0,0,0
0.998736956606017,0.0502443181797696,1,-0.0502443181797696,0.998736956606017,0,0,0,0,0,0,0,0,0,0
0.998656800905955,0.0518130678910622,1,-0.0518130678910622,0.998656800905955,0,0,0,0,0,0,0,0,0,0
0.99857418111951,0.0533816897587605,1,-0.0533816897587605,0.99857418111951,0,0,0,0,0,0,0,0,0,0
0.998489097450538,0.0549501799124457,1,-0.0549501799124457,0.998489097450538,0,0,0,0,0,0,0,0,0,0
0.998401550108975,0.0565185344820245,1,-0.0565185344820245,0.998401550108975,0,0,0,0,0,0,0,0,0,0
0.998311539310835,0.0580867495977378,1,-0.0580867495977378,0.998311539310835,0,0,0,0,0,0,0,0,0,0
0.998219065278212,0.0596548213901707,1,-0.0596548213901707,0.998219065278212,0,0,0,0,0,0,0,0,0,0
0.998124128239275,0.0612227459902619,1,-0.0612227459902619,0.998124128239275,0,0,0,0,0,0,0,0,0,0
0.998026728428272,0.0627905195293134,1,-0.0627905195293134,0.998026728428272,0,0,0,0,0,0,0,0,0,0
0.997926866085527,0.0643581381389997,1,-0.0643581381389997,0.997926866085527,0,0,0,0,0,0,0,0,0,0
0.997824541457441,0.0659255979513779,1,-0.0659255979513779,0.997824541457441,0,0,0,0,0,0,0,0,0,0
0.997719754796491,0.0674928950988965,1,-0.0674928950988965,0.997719754796491,0,0,0,0,0,0,0,0,0,0
0.997612506361225,0.0690600257144058,1,-0.0690600257144058,0.997612506361225,0,0,0,0,0,0,0,0,0,0
0.99750279641627,0.0706269859311667,1,-0.0706269859311667,0.99750279641627,0,0,0,0,0,0,0,0,0,0
0.997390625232324,0.0721937718828606,1,-0.0721937718828606,0.997390625232324,0,0,0,0,0,0,0,0,0,0
0.997275993086157,0.073760379703599,1,-0.073760379703599,0.997275993086157,0,0,0,0,0,0,0,0,0,0
0.997158900260614,0.0753268055279327,1,-0.0753268055279327,0.997158900260614,0,0,0,0,0,0,0,0,0,0
